"","City","Average_Rating"
"303500","Dahej",5
"303506","Dalhousie",4.21844660194175
"306626","Daman",4.00447518307567
"306709","Daltonganj",3.42857142857143
"309074","Dandeli",4.17445482866044
"309108","Damoy",4.5
"309354","Danapur",4
"309706","Dapoli",4.29591836734694
"309728","Dandi",4
"309729","Dantewada",3.33333333333333
"310512","Darbhanga",4.35
"310532","Upper Subansiri District",5
"310534","Darjeeling",4.18573880703762
"310556","Darima",3.5
"324497","Datia",4.00714285714286
"324550","Dasanapura",4.5
"324659","Daulatabad",3.91320072332731
"325229","Dausa",3.64335664335664
"325355","Davanagere",4.41666666666667
"325357","Davangere",4.25531914893617
"325407","Dawki",4.22222222222222
"325809","Deeg",4.02690582959641
"326043","Dehgam",4.29411764705882
"326070","Deesa",4.77777777777778
"326086","Dehradun",4.42866666666667
"327596","Denkanikottai",3
"327598","Delwara",4.71428571428571
"327606","Deoghar",4.0365296803653
"327626","Deogarh",3.81818181818182
"328265","Deshnoke",3.77551020408163
"328300","Deoria",3.8
"328349","Deo",5
"328714","Devanhalli",3.8
"328772","Devadhanapatti",3
"328793","Devarayanadurga",4.17857142857143
"328811","Devikulam",4.02479338842975
"328946","Devipattinam",3.84210526315789
"328955","Devprayag",3.91428571428571
"329078","Dewas",4.22222222222222
"329141","Dhamtari",4.20833333333333
"329177","Dhali",5
"329183","Dhanaulti",4.24961715160796
"329856","Dhanbad",4.38964577656676
"330172","Dhankhar",4
"330222","Dharamkot",4.09090909090909
"330244","Dharamsala",4.33018074821354
"330357","McLeod Ganj",4.08025515502151
"336444","Tapovan",4.62857142857143
"337299","Jwalamukhi",4.00634920634921
"338073","Kangra",4.00813008130081
"338149","Khaniyara",4.52941176470588
"342086","Dharapuram",4.6
"342091","Dharchula",4.19047619047619
"342103","Dharmapuri",3.87978142076503
"342113","Dhari",4.6
"342654","Dharmasthala",4.05454545454545
"342967","Dhar",3.88888888888889
"342999","Dharuhera",4.83333333333333
"343016","Dhaulas",3
"343022","Dhaula Kuan",4.5
"343026","Dhenkanal",4.375
"343049","Dhemaji",3.33333333333333
"343065","Dholpur",3.95238095238095
"343068","Dhikuli",3.81818181818182
"343098","Dhubri",3.88888888888889
"343107","Dhule",4.42857142857143
"343114","Dibrugarh",4.14864864864865
"343186","Digboi",3.68085106382979
"343217","Digha",4.08233117483811
"344299","North Andaman Island",4.34090909090909
"344340","Dimapur",3.88983050847458
"344463","Dindigul",4.06516290726817
"344867","Dirang",4.07317073170732
"344907","Dindori",4.28571428571429
"344933","Diphu",3.9
"344976","Diskit",4.21551724137931
"345036","Dispur",5
"345105","Diu",4.19783715012723
"348249","Diveagar",4.38743455497382
"348284","Divar Island",4.30434782608696
"348845","Doddaballapur",3.96969696969697
"348848","Doda",3.76470588235294
"348905","Dona Paula",4.23084677419355
"348940","Dombivli",4.36842105263158
"349885","Draksharama",4.02898550724638
"349951","Dongargarh",4
"349962","Dudhwa National Park",4.24
"349993","Dubrajpur",4
"349994","Duhka",5
"350008","Dumka",3.89189189189189
"350041","Dungarpur",4.25
"350095","Durgapur",4.2354211663067
"350549","Durg",4.39263803680982
"350722","Dwaraka Tirumala",4.09433962264151
"350732","Dwarka",4.02382319173364
"354269","Ellora",4.20689655172414
"354288","Dyathapura",4.66666666666667
"354301","Egatoor",4.75
"354305","Eluru",4.4
"354315","Erimayur-II",4.25
"354319","Erode",4.16831683168317
"354322","Eppodumvenran",5
"354508","Fagu",4.13157894736842
"354550","Ezhome",5
"354561","Faizabad",4.11023622047244
"354640","Etawah",4
"354684","Faridabad",4.09849749582638
"354710","Falna",4.5
"354762","Farakka",3.3
"355296","Faridkot",3.75
"355333","Fatehpur Sikri",4.00543024227235
"355340","Farsaheya",3.875
"355358","Fatehgarh",3.875
"357733","Fatehpur",4.34883720930233
"357776","Fatorpa",4.2
"357782","Fazilka",3.6
"357791","Ferozpur Jhirka",4
"357796","Firozabad",4.52941176470588
"357824","Firozpur",3.93103448275862
"357853","Gadag",4.01960784313725
"357861","Gadwal",3.875
"357942","Gajner",4.21243523316062
"358127","Gandhidham",3.94444444444444
"358129","Ganagapur",4
"358137","Gandhinagar",4.41525423728814
"358143","Galajwari",4
"359325","Gandikota",4.3731884057971
"359608","Ganeshgudi",4.28070175438596
"359668","Gangolihat",3.90909090909091
"359809","Gangotri",4.01915708812261
"359962","Sagar Island",4
"360034","Gangtok",4.19967127290436
"362286","Tadong",3
"376470","Ganjam",4.20233463035019
"376743","Ganpatipule",4.37802197802198
"378285","Malgund",4.51219512195122
"378639","Garbeta",4.69230769230769
"378649","Garhwal",4.19148936170213
"378709","Garh Siliyara",3.5
"378733","Garjiya",4.4
"378743","Gaya",3.77906976744186
"378752","Garoi",5
"378813","Garhwa",4
"379170","Geyzing",4.63561643835616
"379532","Ghatgan",4.26666666666667
"379562","Ghatshila",4.11111111111111
"379588","Ghanerao",5
"379594","Ghagra",4
"379597","Ghaziabad",4.36230248306998
"380483","Gingee",3.76923076923077
"380492","Ghazipur",4
"380561","Gholu Majra",4.66666666666667
"380568","Sasan Gir",3.88333333333333
"380888","Gir National Park",4.13207547169811
"381078","Giridih",4.27067669172932
"381209","Goa Velha",4.2069602710194
"384481","Gobichettipalayam",4.44444444444444
"384485","Gokak",4.31428571428571
"384510","Godda",2
"384516","Gokarna",4.2541111981206
"387054","Golaghat",4.03333333333333
"387082","Gondal",4.29166666666667
"387206","Gondia",4.20392156862745
"387431","Gopalpur On Sea",4.46666666666667
"387451","Gopalpur",4.17241379310345
"387530","Gopeshwar",3.83636363636364
"387586","Gorakhpur",4.28030303030303
"387976","Gorumara National Park",4.01190476190476
"387982","Gorubathan",4
"388115","Gosaba",4.6530612244898
"388190","Gotagodi",4.796875
"388256","Govardhan",3.83333333333333
"388260","Greater Noida",4.34859154929577
"388281","Great Nicobar Island",4.54545454545455
"388857","Gudalur",4.08670520231214
"388877","Gubbi",3
"389022","Guhagar",4.37765957446809
"389043","Gudur",3
"389222","Guirdolim",4.71428571428571
"389229","Gulbarga",4.01960784313725
"389405","Gulmarg",4.05325
"393433","Guna",4
"393434","Guntur",4.13736263736264
"393439","Gumla",3.75
"393635","Guptkashi",3.5
"393645","Gurdaspur",4.22857142857143
"393717","Gurugram (Gurgaon)",4.3882404563405
"395735","New Delhi",4.19158365074714
"406440","Guruvayur",3.98018769551616
"407404","Guwahati",4.08415032679739
"412320","Gwalior",4.16326530612245
"412323","Gwaldam",4.55555555555556
"415073","Gyaraspur",3.75
"415077","Haddo",2
"415078","Haflong",4.88888888888889
"415086","Haldia",4.01515151515152
"415090","Habra",5
"415098","Hajipur",4
"415101","Hajo",4.14285714285714
"415171","Haldwani",4.03378378378378
"416052","Hamirpur",4.46666666666667
"416056","Hampi",4.03928057553957
"416073","Halol",4.42857142857143
"423034","Hanle",4
"423051","Hansi",3.84615384615385
"423056","Hanumangarh",3.80645161290323
"423105","Haorang Sabal",5
"423106","Hanumanthapuram",3
"423108","Haridwar",4.10265763418447
"423114","Hardoi",4.16666666666667
"423825","Shivpuri",4.84210526315789
"428916","Harihar",4.38095238095238
"428944","Harigar",4
"428947","Harnai",4
"428950","Haroa",4.18181818181818
"428961","Haripurdhar",4.33333333333333
"428980","Hassan",4.02059496567506
"429864","Hastinapur",4.28125
"429871","Hatgad",3.70491803278689
"429956","Havelock Island",4.51745671302867
"430017","Hatkoti",4.36363636363636
"436994","Haveri",4.03030303030303
"437047","Hazaribagh",4.3
"437128","Hazira",4.03937007874016
"437274","Hemis",4.35042735042735
"437508","Himmatnagar",4.41558441558442
"437582","Hiala",5
"437583","Hingoli",3.70175438596491
"437627","Hingolgadh Village",4
"437636","Hinjewadi",4.4
"437651","Hisar",4.25757575757576
"437708","Hogenakkal",4.06666666666667
"437851","Honnavar",4.23157894736842
"437950","Hooghly",4.05413105413105
"438276","Horanadu",4.55294117647059
"438324","Hoovina Hadagalli Taluk",4
"438375","Hosadurga",3.66666666666667
"438395","Hoshangabad",4.17647058823529
"438419","Hoshiarpur",4.33333333333333
"438450","Hospet",4.22920203735144
"439029","Hosur",4.34868421052632
"439188","Howrah",4.09256661991585
"439881","Hubli-Dharwad",4.4144645340751
"440613","Hunder",4.24812030075188
"440723","Hundur",4.25
"440737","Hunsur",3.78787878787879
"441074","Huzurnagar",3.75
"441078","Hyderabad",4.2745444450053
"480654","Idagunji",4.13157894736842
"480769","Kumily",4.51228733459357
"480825","Idar",3.875
"481161","Anachal",4.29387755102041
"481222","Idukki",4.10588235294118
"481321","Munnar",4.23056619838229
"481530","Nedumkandam",4.4468085106383
"481916","Igatpuri",4.47381546134663
"482322","Imphal",3.85727788279773
"483346","Indore",4.21023665382499
"483410","Indapur",4
"488822","Itanagar",4.19642857142857
"488832","Injole",3.66666666666667
"488846","Irikkur",4
"488994","Jabalpur",4.22166874221669
"489009","Itarsi",4.875
